Timestamp,Veuillez sélectionner le cas qui vous est pertinent :,Current_Bank,Region,Account_Package_Type,Satisfaction_Package_Variety,Package_Fit_Needs,Consider_Changing_Package,Online_Banking_Frequency,Online_Platform_Usability,Online_Banking_Issues,Customer_Service_Quality,Issue_Resolution_Speed,Customer_Service_Competence,Mobile_App_Satisfaction,Security_Measures_Rating,Loan_Credit_Service_Satisfaction,Branch_Visit_Frequency,Branch_Visit_Reason,Branch_Location_Convenience,Savings_Interest_Rate_Satisfaction,Fees_Charges_Satisfaction,Bank_Communication_Effectiveness,Service_Access_Rating,Primary_Information_Source,Reputation_Importance,Current_Banking_Management,Suggested_Improvements,Retention_Strategy,Overall_Experience_Satisfaction,Net_Promoter_Score
8/13/2024 13:46:09,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Fes-Meknes,Platinium,Très satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Quotidienne,Très conviviale,Rarement,Excellent,Immédiatement,Très compétents et utiles,Très satisfait,Excellentes,Bon,Rarement,Transactions en espèces (dépôts/retraits),Très pratiques,Neutre,Très satisfait,Très efficace,Excellent,Avis en ligne,Très importante,Application mobile,Offrir de meilleurs taux d'intérêt,Plus d'options de compte,Très satisfait,10
8/13/2024 13:52:09,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Beni Mellal-Khenifra,Jeune,Satisfait,Adéquatement,"Non, je suis satisfait du pack actuel",Mensuelle,Conviviale,Rarement,Neutre,Plus d'une semaine,Compétents et utiles,Satisfait,Bonnes,Neutre,Rarement,Résoudre des problèmes ou des litiges,Pratiques,Neutre,Insatisfait,Neutre,Bon,Amis ou famille,Importante,En personne à une agence,Améliorer le service client,Plus de fonctionnalités en ligne,Satisfait,6
8/13/2024 13:52:17,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Rarement,Conviviale,Rarement,Bon,Immédiatement,Compétents et utiles,Satisfait,Bonnes,Bon,Rarement,Demande de chéquier,Pratiques,Satisfait,Satisfait,Efficace,Bon,Avis en ligne,Importante,Banque en ligne,Améliorer le service client,Meilleur service client,Satisfait,2
8/13/2024 13:55:14,Je ne suis pas intéressé(e) par une autre banque,Banque Populaire,Tanger-Tetouan-Al Hoceima,Jeune,Neutre,Adéquatement,"Oui, en raison de frais inférieurs dans un autre pack",Hebdomadaire,Conviviale,"Oui, de temps en temps",Bon,En un jour,Neutre,Satisfait,Bonnes,Bon,Mensuelle,Transactions en espèces (dépôts/retraits),Pratiques,Satisfait,Insatisfait,Efficace,Bon,Conseillers financiers,Importante,En personne à une agence,Réduire les frais,Meilleur service client,Neutre,7
8/13/2024 14:03:10,Je ne suis pas intéressé(e) par une autre banque,CIH,Marrakech-Safi-Essaouira,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Rarement,Bon,En un jour,Compétents et utiles,Très satisfait,Bonnes,Bon,Rarement,Résoudre des problèmes ou des litiges,Pratiques,Neutre,Très satisfait,Efficace,Bon,Avis en ligne,Très importante,Application mobile,Améliorer les fonctionnalités du compte,Meilleur service client,Satisfait,8
8/13/2024 14:31:08,Je ne suis pas intéressé(e) par une autre banque,CIH,Rabat-Salé-Kenitra,Jeune,Neutre,Pas du tout,Pas sûr,Quotidienne,Très conviviale,Non applicable,Neutre,Immédiatement,Neutre,Satisfait,Neutres,Mauvais,Rarement,Transactions en espèces (dépôts/retraits),Neutres,Neutre,Neutre,Inefficace,Neutre,Amis ou famille,Importante,Application mobile,Améliorer les fonctionnalités du compte,Frais plus bas,Satisfait,10
8/13/2024 14:56:47,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Neutre,Parfaitement,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,Jamais,Bon,Jamais résolu,Neutre,Neutre,Bonnes,Neutre,Trimestrielle,Services ou conseils financiers personnalisés,Très pratiques,Neutre,Neutre,Inefficace,Neutre,Avis en ligne,Neutre,Banque en ligne,Offrir de meilleurs taux d'intérêt,Frais plus bas,Satisfait,3
8/13/2024 14:58:01,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Oriental,Jeune,Neutre,Adéquatement,"Oui, en raison de frais inférieurs dans un autre pack",Quotidienne,Très conviviale,"Oui, de temps en temps",Neutre,En un jour,Neutre,Très satisfait,Excellentes,Neutre,Rarement,Résoudre des problèmes ou des litiges,Neutres,Neutre,Satisfait,Efficace,Bon,Amis ou famille,Très importante,Application mobile,Réduire les frais,Frais plus bas,Satisfait,9
8/13/2024 15:24:09,Je ne suis pas intéressé(e) par une autre banque,CIH,Rabat-Salé-Kenitra,Jeune,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Quotidienne,Très conviviale,Rarement,Mauvais,Plus d'une semaine,Neutre,Satisfait,Neutres,Neutre,Rarement,Transactions en espèces (dépôts/retraits),Très pratiques,Satisfait,Satisfait,Très efficace,Mauvais,Publicité de la banque,Importante,Application mobile,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Satisfait,9
8/13/2024 15:29:19,Je ne suis pas intéressé(e) par une autre banque,Société Générale,Casablanca-Settat,Jeune,Satisfait,Très bien,"Oui, en raison de meilleurs avantages dans un autre pack",Hebdomadaire,Très conviviale,Jamais,Excellent,Immédiatement,Très compétents et utiles,Satisfait,Excellentes,Excellent,Rarement,"Jusqu'à présent, je ne me suis jamais déplacée à ma banque vu que je traite tous en ligne. Mais si jamais je vais devoir le faire c'est pour changer mon pack ou bien signer les papiers pour un crédit",Pratiques,Satisfait,Satisfait,Très efficace,Excellent,Amis ou famille,Très importante,Application mobile,Offrir de meilleurs taux d'intérêt,Plus de fonctionnalités en ligne,Très satisfait,10
