Timestamp,Selection,Current_Bank,Region,Bank_Choice_Criterion,Fee_Influence,Account_Interest,Branch_Location_Importance,Family_Influence,Account_Benefits,Online_Banking_Importance,Online_Platform_Features,Customer_Service_Importance,Bank_Service_Exp,Reason_Choose_Other_Bank,Bank_Concerns,Service_Support_Expectations,Likelihood_Open_Elsewhere,Interested_Bank_Service,Experience_Influence_Change,Current_Challenges,ATM_Availability_Importance,Preferred_Communication,Banks_Considering,Likelihood_Bank_Change
8/13/2024 14:01:28,Je suis intéressé(e) par une autre banque,CIH,Tanger-Tetouan-Al Hoceima,Bon service client,Influents,Compte courant,Important,Influencé,Frais plus bas,Très importante,Haute sécurité,Très important,Mauvaise,Meilleur service client,"Oui, des préoccupations liées au service",Excellent service client,Très probable,Comptes courants,Influencé,Mauvais service client,Très importants,Application mobile,BMCE Bank of Africa,8
8/13/2024 14:01:33,Je suis intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Fonctionnalités en ligne,Influents,Compte courant,Très important,Très influencé,N/A,Très importante,Haute sécurité,Très important,Excellente,Meilleures fonctionnalités de banque en ligne,"Oui, des préoccupations de sécurité",Banque en ligne conviviale,Très probable,Comptes d'épargne,Très influencé,Aucun,Très importants,Par téléphone,Banque Populaire,0
8/13/2024 14:01:33,Je suis intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Fonctionnalités en ligne,Influents,Compte courant,Très important,Très influencé,N/A,Très importante,Haute sécurité,Très important,Excellente,Meilleures fonctionnalités de banque en ligne,"Oui, des préoccupations de sécurité",Banque en ligne conviviale,Très probable,Comptes d'épargne,Très influencé,Aucun,Très importants,Par téléphone,BMCE Bank of Africa,0
8/13/2024 14:01:33,Je suis intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Fonctionnalités en ligne,Influents,Compte courant,Très important,Très influencé,N/A,Très importante,Haute sécurité,Très important,Excellente,Meilleures fonctionnalités de banque en ligne,"Oui, des préoccupations de sécurité",Banque en ligne conviviale,Très probable,Comptes d'épargne,Très influencé,Aucun,Très importants,Par téléphone,CIH,0
8/13/2024 14:02:58,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Fonctionnalités en ligne,Influents,Compte courant,Neutre,Peu influencé,Plus d'options de compte,Très importante,Haute sécurité,Très important,Bonne,Meilleur service client,"Oui, des préoccupations de sécurité",Excellent service client,Neutre,Comptes courants,Neutre,Mauvais service client,Importants,En personne,BMCI BNP Paribas,5
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Par email,CFG Bank,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Par téléphone,Attijariwafa Bank,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Par email,Banque Populaire,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Application mobile,Société Générale,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Par téléphone,BMCE Bank of Africa,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Application mobile,BMCI BNP Paribas,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Par email,Crédit du Maroc,7
8/13/2024 14:06:22,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Neutre,Neutre,Frais plus bas,Neutre,Gestion complète du compte,Neutre,Neutre,Frais plus bas,"Oui, des préoccupations liées aux frais",Frais et taux compétitifs,Neutre,Prêts et crédit,Peu influencé,Mauvais service client,Neutre,Par email,CIH,7
8/13/2024 14:07:04,Je suis intéressé(e) par une autre banque,CIH,Casablanca-Settat,Frais bas,Très influents,Compte courant,Important,Influencé,Meilleures récompenses ou incitations,Très importante,Gestion complète du compte,Très important,Excellente,Je suis satisfaite de ma banque actuelle ,Aucune préoccupation,Excellent service client,Très probable,Comptes courants,Neutre,Aucun défi ,Très importants,Par téléphone,Attijariwafa Bank,1
